id,Gene name,strength,eigenvector,close,betweenness,community,core4854,core6920,core7464
AGAP000002,,40.75,0.008787135,0.231913559,2.91E-05,3,,,
AGAP000005,,78.95,0.013750498,0.239440138,0.000171241,3,core4854,,
AGAP000007,IGL1,1.36,7.90E-06,0.190212304,0,1,,,
AGAP000008,,42.16,0.000383447,0.223760993,1.22E-06,8,,,
AGAP000009,,80.25,0.013802427,0.242451001,0.000654142,3,core4854,,
AGAP000010,,3.64,0.000101576,0.210887918,0,1,,,
AGAP000011,,126.3,0.028812269,0.244506032,7.34E-05,3,core4854,,
AGAP000012,TTRNA1,22.01,0.000156442,0.215810193,4.72E-05,1,,,
AGAP000013,,132.13,0.002796483,0.252337357,0.000830249,4,core4854,,
AGAP000014,,2.8,9.20E-05,0.191399311,1.04E-05,2,,,
AGAP000015,,2.81,0.000112631,0.208689488,4.18E-05,2,,,
AGAP000016,SCRB10,11.21,1.88E-05,0.181277999,0.000198007,7,,,
AGAP000017,,25.67,0.005300176,0.235160079,0.000134618,3,,,
AGAP000018,,3.33,2.35E-06,0.169797481,2.88E-06,4,,,
AGAP000019,,127.11,0.000924483,0.217787179,9.16E-05,6,core4854,,
AGAP000021,,2.67,5.62E-05,0.187202472,1.15E-07,5,,,
AGAP000022,,111.97,0.00158626,0.238396452,1.47E-05,1,core4854,,
AGAP000023,,23.82,0.000198338,0.209460451,5.75E-08,6,,,
AGAP000025,,93.13,0.004387554,0.243777634,0.000258465,4,core4854,,
AGAP000028,,3.48,0.000432169,0.198580917,3.62E-06,3,,,
AGAP000029,,9.79,0.000343421,0.195425677,9.01E-06,4,,,
AGAP000032,,1.37,1.55E-05,0.175623646,0,6,,,
AGAP000033,,14.62,0.000281423,0.209231552,1.65E-05,6,,,
AGAP000035,,9.09,8.94E-05,0.216503178,6.18E-05,1,,,
AGAP000037,,89.8,0.000828287,0.218148227,8.03E-06,6,core4854,,
AGAP000038,,68.93,0.000896072,0.21706763,0.000120666,6,,,
AGAP000039,,22.42,0.0005956,0.209618986,0.000189861,6,,,
AGAP000041,,7.53,7.96E-05,0.197915076,1.29E-07,6,,,
AGAP000043,,32.43,0.003311106,0.219549027,2.14E-05,4,,,
AGAP000044,,4.06,4.86E-05,0.189315552,1.39E-06,4,,,
AGAP000045,,0.68,3.02E-05,0.169564536,0,2,,,
AGAP000046,,0.69,1.32E-06,0.16937194,0,7,,,
AGAP000047,CPR130,4.03,0.000188474,0.184975994,2.16E-07,3,,,
AGAP000049,,110.59,0.005368138,0.247932128,0.000322804,4,core4854,,
AGAP000051,,131.43,0.024065412,0.233650368,0.000405466,3,core4854,,
AGAP000053,,17.99,0.000190736,0.220347847,1.43E-06,1,,,
AGAP000056,,32.11,0.00146321,0.215830585,3.56E-05,2,,,
AGAP000058,,52.89,0.005273601,0.231945028,5.41E-05,2,,,
AGAP000061,,52.07,0.000543412,0.211641685,5.54E-05,6,,,
AGAP000062,,8.23,0.000206066,0.20867879,2.19E-05,2,,,
AGAP000063,,33.59,0.002153205,0.219685673,8.80E-06,2,,,
AGAP000064,plexA,2.71,6.59E-06,0.178855107,2.82E-06,4,,,
AGAP000065,,28.79,0.000236801,0.210337433,0,6,,,
AGAP000066,,0.7,2.36E-06,0.172263882,0,5,,,
AGAP000067,,11.01,0.000119466,0.205060332,6.88E-05,6,,,
AGAP000068,NFI,36.15,0.001168206,0.218263884,8.99E-05,6,,,
AGAP000069,,31.68,0.001008125,0.222293281,0.000199003,2,,,
AGAP000070,,4.71,1.32E-05,0.183142802,5.00E-05,4,,,
AGAP000071,,39.67,0.002909827,0.21447407,1.54E-06,2,,,
AGAP000072,,61.16,0.002288363,0.217305444,1.84E-05,2,,,
AGAP000073,,16.61,0.000227793,0.217673666,7.82E-06,6,,,
AGAP000074,,24.3,0.001809617,0.195663644,0,10,,,
AGAP000075,,2.8,3.44E-05,0.189235806,0,2,,,
AGAP000076,,2.13,2.22E-05,0.182229963,0,4,,,
AGAP000078,,25.25,0.000566712,0.219878542,8.16E-06,4,,,
AGAP000079,,14.18,2.49E-05,0.190501,0.000289249,6,,,
AGAP000080,,241.64,0.050813373,0.258273722,0.000656968,3,core4854,core6920,
AGAP000081,,5.41,0.000205011,0.194449841,6.90E-07,4,,,
AGAP000082,,18.49,0.000201911,0.223046463,2.58E-05,1,,,
AGAP000085,CPR129,90.24,0.019536474,0.225322561,7.62E-05,3,core4854,,
AGAP000088,CYP4H19,93.4,0.007874364,0.206290873,4.54E-05,10,core4854,,
AGAP000090,,3.47,2.72E-05,0.197973961,7.34E-06,4,,,
